GraphNumber,VertexNumber,EdgeNumber,PermutationTime(us),DFSTimev1(us),DFSTimev2(us)
18,20,37,0,89258,236816
19,21,39,0,142560,386953
20,22,41,0,1991673,5769669
21,23,43,0,801743,2085747
22,24,45,0,1234348,2821330
23,25,47,0,4860271,12447794
24,26,49,0,5610910,13485309
25,27,51,0,1979286,4387147
1,3,3,0,15,18
2,4,5,0,6,16
3,5,7,0,13,43
4,6,9,0,22,59
5,7,11,0,45,150
6,8,13,0,63,174
7,9,15,0,264,834
8,10,17,0,635,1978
9,11,19,0,495,1688
10,12,21,0,656,1655
11,13,23,0,2626,8694
12,14,25,0,4700,13087
13,15,27,0,1741,3961
14,16,29,0,19573,56543
15,17,31,0,13665,35784
16,18,33,0,45380,118211
17,19,35,0,114368,283634
18,20,37,0,79400,191779
19,21,39,0,379444,1054270
20,22,41,0,855272,2330999
21,23,43,0,378025,881076
22,24,45,0,677809,1646387
23,25,47,0,1977155,4528135
24,26,49,0,1438303,2924940
25,27,51,0,22616580,56361693
26,28,53,0,6299906,13381979
1,3,3,14,5,22
2,4,5,13,15,16
3,5,7,57,15,47
4,6,9,278,15,41
5,7,11,1804,27,73
6,8,13,11667,23,56
7,9,15,110440,420,1666
8,10,17,1023176,84,209
9,11,19,11431807,345,963
1,3,3,0,12,18
2,4,5,0,6,15
3,5,7,0,13,43
4,6,9,0,22,54
5,7,11,0,40,147
6,8,13,0,58,147
7,9,15,0,73,201
8,10,17,0,369,1271
9,11,19,0,991,3835
10,12,21,0,1068,2963
11,13,23,0,4560,12353
12,14,25,0,5399,16322
13,15,27,0,6482,15554
14,16,29,0,10990,30500
15,17,31,0,54379,159683
16,18,33,0,32601,89169
17,19,35,0,107112,367276
18,20,37,0,105007,248976
19,21,39,0,230057,525048
20,22,41,0,551565,1311148
21,23,43,0,402995,979154
22,24,45,0,3576712,8464067
23,25,47,0,3475730,8868319
24,26,49,0,7026612,18495541
25,27,51,0,5206575,11934361
26,28,53,0,4157569,8876183
27,29,55,0,91300343,239573155
28,30,57,0,97261389,236790329
1,3,3,0,12,17
2,4,5,0,6,15
3,5,7,0,9,22
4,6,9,0,21,28
5,7,11,0,68,249
6,8,13,0,60,178
7,9,15,0,77,186
8,10,17,0,347,909
9,11,19,0,704,2623
10,12,21,0,864,3696
11,13,23,0,1147,3339
12,14,25,0,3642,10319
13,15,27,0,9799,29597
14,16,29,0,13097,38195
15,17,31,0,69403,184966
16,18,33,0,31683,89418
17,19,35,0,131537,404179
18,20,37,0,661083,2115454
19,21,39,0,464791,1259732
20,22,41,0,476306,1240002
21,23,43,0,1969870,5923739
22,24,45,0,2558611,6595271
23,25,47,0,4185995,10342583
24,26,49,0,6287788,16270422
25,27,51,0,33053226,87794614
26,28,53,0,20764751,52968581
