GraphNumber,VertexNumber,EdgeNumber,PermutationOpCount,DFSv1OpCount,DFSv2OpCount
17,19,35,0,444686,2156054
18,20,37,0,758480,3462305
19,21,39,0,14681070,93624957
20,22,41,0,6274964,35750855
21,23,43,0,6375038,32560799
22,24,45,0,15318604,77119021
23,25,47,0,36661590,168618582
24,26,49,0,129792260,749384291
25,27,51,0,78281994,407381160
26,28,53,0,404938652,-1925245052
27,29,55,0,360812474,1939809914
1,3,3,7,30,111
2,4,5,29,84,390
3,5,7,86,90,315
4,6,9,222,304,1303
5,7,11,533,282,1128
6,8,13,1227,1212,5217
7,9,15,2752,1194,6225
8,10,17,6068,2388,11415
1,3,3,7,0,0
2,4,5,29,0,0
3,5,7,86,0,0
4,6,9,222,0,0
5,7,11,533,0,0
6,8,13,1227,0,0
7,9,15,2752,0,0
8,10,17,6068,0,0
9,11,19,13223,0,0
10,12,21,28569,0,0
11,13,23,61322,0,0
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,132,456
5,7,11,0,282,1128
6,8,13,0,900,3969
7,9,15,0,1146,5088
8,10,17,0,2428,11707
9,11,19,0,6830,32894
10,12,21,0,6992,31562
11,13,23,0,48930,275460
12,14,25,0,36080,160163
13,15,27,0,119898,692127
14,16,29,0,280100,1481726
15,17,31,0,359034,1695741
16,18,33,0,868144,4347058
17,19,35,0,346994,1604267
18,20,37,0,1714548,8712975
19,21,39,0,2401754,12228998
20,22,41,0,4177684,18181180
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,138,588
4,6,9,0,132,456
5,7,11,0,438,1797
6,8,13,0,868,3874
7,9,15,0,4818,30693
8,10,17,0,2580,12597
9,11,19,0,4750,20365
10,12,21,0,5548,20974
11,13,23,0,19314,94941
12,14,25,0,36516,189948
13,15,27,0,35522,136709
14,16,29,0,186528,963273
15,17,31,0,97710,439287
16,18,33,0,828644,4143839
17,19,35,0,158666,736025
18,20,37,0,727460,3308381
19,21,39,0,1229526,6124410
20,22,41,0,15822364,95924578
21,23,43,0,6525418,34292182
22,24,45,0,9916236,44222580
23,25,47,0,37440246,202367649
24,26,49,0,43221676,211751635
25,27,51,0,15184982,69392657
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,138,588
4,6,9,0,208,820
5,7,11,0,482,2246
6,8,13,0,644,2876
7,9,15,0,2570,12938
8,10,17,0,6076,33778
9,11,19,0,5450,27473
10,12,21,0,6240,27408
11,13,23,0,24586,141649
12,14,25,0,45528,192507
13,15,27,0,16130,66323
14,16,29,0,183488,942512
15,17,31,0,124754,562748
16,18,33,0,408340,1948186
17,19,35,0,909062,4041782
18,20,37,0,702300,3096219
19,21,39,0,3236810,16342673
20,22,41,0,6930044,39496157
21,23,43,0,3130058,14048534
22,24,45,0,5466012,27591333
23,25,47,0,15552614,72026759
24,26,49,0,11468104,42226738
25,27,51,0,168816986,893394737
26,28,53,0,47361744,208801539
1,3,3,7,30,111
2,4,5,29,56,200
3,5,7,86,138,588
4,6,9,222,132,456
5,7,11,533,282,1128
6,8,13,1227,240,816
7,9,15,2752,4634,27944
8,10,17,6068,944,3239
9,11,19,13223,3758,14540
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,138,588
4,6,9,0,208,820
5,7,11,0,458,2294
6,8,13,0,600,2256
7,9,15,0,746,3041
8,10,17,0,4172,21290
9,11,19,0,10738,56629
10,12,21,0,10024,48796
11,13,23,0,40462,204937
12,14,25,0,52432,275038
13,15,27,0,63554,238676
14,16,29,0,106632,486594
15,17,31,0,500062,2689285
16,18,33,0,298944,1508436
17,19,35,0,893546,4922612
18,20,37,0,918096,3949107
19,21,39,0,1817866,8731189
20,22,41,0,4171232,21560420
21,23,43,0,3341454,16175778
22,24,45,0,28142700,127669785
23,25,47,0,26643214,146677996
24,26,49,0,53293356,301746492
25,27,51,0,39611322,184878351
26,28,53,0,31052800,138614887
27,29,55,0,651653930,-449826995
28,30,57,0,688185508,-559302291
1,3,3,0,30,111
2,4,5,0,56,200
3,5,7,0,90,315
4,6,9,0,132,456
5,7,11,0,734,3821
6,8,13,0,632,2864
7,9,15,0,778,2785
8,10,17,0,3408,14145
9,11,19,0,7470,40338
10,12,21,0,8236,34723
11,13,23,0,11642,55112
12,14,25,0,33464,165638
13,15,27,0,95590,479008
14,16,29,0,127208,608780
15,17,31,0,531174,2794530
16,18,33,0,294072,1435056
